,Lesson(s) Learned Level 1,Driving Event Level 1,Recommendation(s) Level 1,Lesson IDs for row,Number of lessons for row
822,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","real time, stable, share, command sequence, remote, real, reduce, likelihood, file, center wide","[446, 758, 879]",3
823,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","install, feature, joint, assembly, component, opportunity, delivery, prior delivery, minimize potential, deal",[136],1
824,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor",[126],1
825,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","[46, 92, 1194, 2216]",4
826,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[73, 153, 192, 203, 321, 344, 395]",7
827,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","[232, 18503]",2
828,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[1034, 1861, 3656, 14201]",4
829,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[1034, 1861, 3656, 14201]",4
830,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[802, 813, 822, 1116, 1277, 1316, 1387, 1725]",8
831,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[76, 90, 114, 120, 139, 175, 195, 228, 292, 580, 592, 670, 742, 1734, 6416, 18502]",16
832,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","install, feature, joint, assembly, component, opportunity, delivery, prior delivery, minimize potential, deal",[504],1
833,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[521, 8302]",2
834,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[434],1
835,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket","[429, 1153, 3116]",3
836,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[435],1
837,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","circuit, temperature, redundant, part stress, transient, assume, selection, stress, mode, consider",[360],1
838,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[115, 423]",2
839,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify","[282, 309, 326, 787, 863, 12901]",6
840,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","[388, 605]",2
841,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[15301],1
842,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket",[8016],1
843,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[4999],1
844,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket",[4966],1
845,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door",[5117],1
846,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify",[4056],1
847,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[1716, 5936]",2
848,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify","[5, 661, 1778, 3277, 4057]",5
849,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[207, 4016, 4058]",3
850,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[569, 4417, 5456]",3
851,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[3041, 5156]",2
852,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","[29, 2956, 3576, 4584]",4
853,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[214, 1579, 3716, 14001]",4
854,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[3221],1
855,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term",[2816],1
856,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket","[29, 2956, 3576, 4584]",4
857,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","[366, 2976]",2
858,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[51, 78, 875, 1431, 2916]",5
